type,pos,headword,freq,range
a,,,23513,1
aa,,,4,1
aaas,,,6,1
aap,,,4,1
aarika,,,8,1
aaron,,,107,1
abandon,,,4,1
abandoned,,,12,1
abandoner,,,2,1
abandoning,,,2,1
abandonment,,,2,1
abandons,,,2,1
abate,,,8,1
abated,,,2,1
abba,,,2,1
abbie,,,6,1
abbot,,,2,1
abbott,,,16,1
abby,,,2,1
abdon,,,6,1
abduction,,,2,1
abel,,,14,1
aberdeen,,,4,1
abeyta,,,2,1
abeytanelson,,,4,1
abi,,,2,1
abide,,,8,1
abided,,,2,1
abigail,,,6,1
abilene,,,2,1
abilities,,,24,1
ability,,,85,1
abject,,,2,1
able,,,665,1
abner,,,2,1
abnormal,,,4,1
aboard,,,12,1
abort,,,2,1
aborted,,,2,1
abortion,,,20,1
abortions,,,12,1
abounded,,,2,1
about,,,2203,1
abouts,,,2,1
above,,,52,1
abraham,,,8,1
abrams,,,8,1
abroad,,,12,1
abruptly,,,4,1
absence,,,38,1
absences,,,8,1
absent,,,21,1
absentee,,,52,1
absolute,,,14,1
absolutely,,,16,1
absorb,,,8,1
absorbed,,,10,1
absorbing,,,4,1
abstainees,,,2,1
abstinence,,,2,1
abstract,,,4,1
abstracts,,,2,1
absurd,,,4,1
absurdity,,,2,1
abundance,,,4,1
abundant,,,12,1
abundez,,,2,1
abundiz,,,10,1
abuse,,,20,1
abused,,,4,1
abusive,,,6,1
abut,,,2,1
abutting,,,2,1
academic,,,102,1
academically,,,4,1
academics,,,18,1
academies,,,4,1
academy,,,90,1
accelerate,,,2,1
accelerated,,,12,1
accents,,,2,1
accept,,,64,1
acceptable,,,6,1
acceptance,,,12,1
accepted,,,106,1
accepting,,,36,1
access,,,112,1
accessed,,,2,1
accesses,,,2,1
accessible,,,6,1
accessing,,,2,1
accident,,,79,1
accidentally,,,4,1
accidents,,,12,1
acclaim,,,2,1
acclaimed,,,6,1
acclamation,,,2,1
accolades,,,18,1
accommodate,,,8,1
accommodations,,,8,1
accomodate,,,8,1
accompanied,,,20,1
accompany,,,8,1
accompanying,,,8,1
accomplice,,,2,1
accomplish,,,28,1
accomplished,,,50,1
accomplishing,,,2,1
accomplishment,,,12,1
accomplishments,,,40,1
accord,,,2,1
accordance,,,8,1
accordia,,,2,1
according,,,708,1
accordingly,,,10,1
accordion,,,4,1
accordionist,,,4,1
accordions,,,2,1
account,,,48,1
accountability,,,38,1
accountable,,,28,1
accountant,,,6,1
accountants,,,4,1
accounted,,,24,1
accounting,,,18,1
accounts,,,18,1
accouting,,,2,1
accreditation,,,2,1
accredited,,,6,1
accumulate,,,4,1
accumulated,,,4,1
accumulation,,,2,1
accuracy,,,6,1
accurate,,,12,1
accurately,,,14,1
accusations,,,2,1
accused,,,24,1
accuses,,,2,1
accusing,,,2,1
accustom,,,2,1
accustomed,,,2,1
ace,,,36,1
aced,,,4,1
acension,,,2,1
aces,,,58,1
acevedo,,,2,1
aceves,,,2,1
achieve,,,36,1
achieved,,,12,1
achievement,,,76,1
achievements,,,10,1
achiever,,,2,1
achievers,,,12,1
achieves,,,2,1
achieving,,,12,1
acity,,,2,1
ackerman,,,2,1
acknowledge,,,18,1
acknowledged,,,16,1
acknowledgment,,,2,1
acl,,,8,1
aclu,,,2,1
acosta,,,10,1
acoustic,,,2,1
acquaintances,,,4,1
acquainted,,,8,1
acquire,,,6,1
acquired,,,6,1
acquires,,,2,1
acquisition,,,10,1
acquisitions,,,12,1
acre,,,72,1
acres,,,91,1
acrisius,,,2,1
across,,,272,1
acrylics,,,4,1
acs,,,2,1
act,,,116,1
acted,,,16,1
acting,,,22,1
action,,,206,1
actions,,,64,1
activate,,,4,1
activated,,,2,1
active,,,174,1
actively,,,28,1
activism,,,2,1
activist,,,16,1
activists,,,8,1
activities,,,328,1
activitiesthis,,,2,1
activity,,,58,1
actor,,,6,1
actors,,,18,1
actorsto,,,2,1
actress,,,4,1
acts,,,38,1
actual,,,51,1
actually,,,143,1
acufab,,,2,1
acute,,,8,1
ad,,,44,1
ada,,,6,1
adair,,,2,1
adam,,,28,1
adamant,,,4,1
adamantly,,,4,1
adamich,,,2,1
adams,,,66,1
adamson,,,4,1
adapt,,,10,1
adapted,,,4,1
add,,,62,1
added,,,1129,1
addedbones,,,2,1
addictions,,,2,1
adding,,,146,1
addition,,,242,1
additional,,,359,1
additionally,,,8,1
additions,,,6,1
additives,,,2,1
additonal,,,2,1
address,,,106,1
addressed,,,86,1
addresses,,,14,1
addressing,,,24,1
adds,,,16,1
addy,,,4,1
adelaida,,,2,1
adele,,,2,1
adelia,,,6,1
adelina,,,2,1
adelines,,,8,1
adella,,,2,1
adelman,,,2,1
adept,,,4,1
adeptly,,,2,1
adequate,,,16,1
adequately,,,8,1
adhered,,,2,1
adhering,,,2,1
adhesives,,,2,1
adilene,,,2,1
adjacent,,,12,1
adjoining,,,4,1
adjourn,,,6,1
adjourned,,,4,1
adjournment,,,6,1
adjudicates,,,2,1
adjudication,,,2,1
adjunct,,,2,1
adjust,,,12,1
adjusted,,,8,1
adjusting,,,6,1
adjustment,,,40,1
adjustments,,,16,1
adjustor,,,2,1
adlai,,,2,1
administer,,,8,1
administered,,,28,1
administerfarm,,,2,1
administers,,,6,1
administration,,,142,1
administrative,,,57,1
administrator,,,112,1
administrators,,,72,1
admirable,,,2,1
admirably,,,2,1
admiration,,,4,1
admire,,,10,1
admired,,,6,1
admires,,,6,1
admissibility,,,2,1
admissible,,,2,1
admission,,,138,1
admit,,,36,1
admits,,,12,1
admittance,,,2,1
admitted,,,52,1
admittedly,,,6,1
admitting,,,6,1
admonished,,,2,1
admonishes,,,2,1
adolescent,,,14,1
adolescents,,,2,1
adolfo,,,10,1
adolph,,,2,1
adopt,,,62,1
adopted,,,98,1
adopting,,,26,1
adoption,,,26,1
adopts,,,6,1
adorable,,,10,1
adorn,,,2,1
adreana,,,2,1
adrenaline,,,2,1
adri,,,2,1
adrian,,,26,1
adriana,,,16,1
adrienne,,,2,1
ads,,,12,1
adult,,,102,1
adulterer,,,10,1
adults,,,172,1
advance,,,72,1
advanced,,,78,1
advancement,,,6,1
advances,,,6,1
advancing,,,14,1
advantage,,,106,1
advantageous,,,2,1
advantages,,,12,1
adventist,,,16,1
adventure,,,20,1
adventures,,,18,1
adventurous,,,2,1
adversarial,,,2,1
adverse,,,4,1
adversely,,,2,1
adversity,,,4,1
advertise,,,4,1
advertised,,,2,1
advertisement,,,4,1
advertisements,,,4,1
advertising,,,32,1
advice,,,9,1
advil,,,2,1
advisable,,,2,1
advise,,,4,1
advised,,,14,1
advises,,,6,1
advising,,,2,1
advisor,,,34,1
advisors,,,14,1
advisory,,,78,1
advocacy,,,6,1
advocate,,,16,1
advocated,,,4,1
advocates,,,16,1
advocating,,,6,1
aerial,,,6,1
aerobic,,,2,1
aerobics,,,2,1
aeronautics,,,2,1
aerosol,,,6,1
aerospace,,,4,1
aerostar,,,2,1
aeschylus,,,2,1
aesthetic,,,4,1
aesthetics,,,2,1
af,,,2,1
afar,,,2,1
afb,,,2,1
affair,,,32,1
affairs,,,26,1
affect,,,60,1
affected,,,38,1
affecting,,,14,1
affection,,,4,1
affects,,,14,1
affholter,,,9,1
affidavits,,,2,1
affiliate,,,6,1
affiliated,,,16,1
affiliation,,,24,1
affirm,,,2,1
affirmative,,,6,1
affirming,,,6,1
affirms,,,2,1
afflict,,,2,1
afflictions,,,2,1
afford,,,60,1
affordable,,,32,1
afforded,,,6,1
afghan,,,6,1
afghanistan,,,6,1
afghans,,,6,1
afl,,,6,1
afoot,,,4,1
afraid,,,42,1
africa,,,10,1
african,,,20,1
after,,,1189,1
aftermath,,,2,1
afternoon,,,163,1
afternoons,,,6,1
aftershock,,,2,1
